"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 03:25:43 GMT 2023","Thu Dec 14 03:25:44 GMT 2023","602","","Work with basic elements","","","","Links",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","33","","","","","","Validando dados do tipo STRING",""
"passed","Thu Dec 14 03:25:39 GMT 2023","Thu Dec 14 03:25:39 GMT 2023","17","","Login teste","","","","Login com sucesso",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","26","","","","","","Validando estrutura de dados do tipo arrays",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","23","","","","","","Validando retornos de igualdade ou booleanos",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","20","","","","","","Validando dados do tipo NUMBERS",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","45","","","","","","Validando Equalidade de objetos",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","21","","","","","","Validando tipos de dados",""
"passed","Thu Dec 14 03:25:39 GMT 2023","Thu Dec 14 03:25:39 GMT 2023","43","","template spec","","","","A external test",""
"passed","Thu Dec 14 03:25:31 GMT 2023","Thu Dec 14 03:25:31 GMT 2023","52","","","","","","Equality",""
"skipped","Thu Dec 14 03:25:39 GMT 2023","Thu Dec 14 03:25:39 GMT 2023","1","Login teste","Logout","","","","teste de it dentro do describe",""
"passed","Thu Dec 14 03:25:36 GMT 2023","Thu Dec 14 03:25:36 GMT 2023","181","","Cypress basic","","","","Should and visit the title",""
"passed","Thu Dec 14 03:25:36 GMT 2023","Thu Dec 14 03:25:37 GMT 2023","255","","Cypress basic","","","","Deve encontrar e interagir com um elemento",""
