"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","24","","","","","","Validando dados do tipo STRING",""
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","22","","","","","","Validando dados do tipo NUMBERS",""
"failed","Fri Dec 22 20:51:21 GMT 2023","Fri Dec 22 20:51:25 GMT 2023","4424","","Etendendo as esperas no Cypress","","","","Deve fazer retrys",""
"passed","Fri Dec 22 20:51:25 GMT 2023","Fri Dec 22 20:51:32 GMT 2023","6204","","Etendendo as esperas no Cypress","","","","Validar o uso do timeout",""
"passed","Fri Dec 22 20:51:40 GMT 2023","Fri Dec 22 20:51:40 GMT 2023","21","","Aprendendo sobre o uso do Invoke","","","","Cria um objeto com dois parametros a e b para somar e usa o invoke para chama-la",""
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","28","","","","","","Validando Equalidade de objetos",""
"passed","Fri Dec 22 20:51:40 GMT 2023","Fri Dec 22 20:51:40 GMT 2023","52","","Aprendendo sobre o uso do Invoke","","","","Cria um objeto e usa o invoke",""
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","21","","","","","","Validando tipos de dados",""
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","25","","","","","","Validando estrutura de dados do tipo arrays",""
"passed","Fri Dec 22 20:51:05 GMT 2023","Fri Dec 22 20:51:06 GMT 2023","912","","Cypress basic","","","","Deve pegar o titulo da tela e escrever em outro campo",""
"passed","Fri Dec 22 20:51:09 GMT 2023","Fri Dec 22 20:51:09 GMT 2023","17","","Login teste","","","","Login com sucesso",""
"passed","Fri Dec 22 20:51:17 GMT 2023","Fri Dec 22 20:51:21 GMT 2023","3495","","Etendendo as esperas no Cypress","","","","Clicando no botao RESPOSTA demorada escrevendo e aguardando elemento estar disponível",""
"passed","Fri Dec 22 20:51:37 GMT 2023","Fri Dec 22 20:51:37 GMT 2023","185","","Uso de find para encontrar elementos","","","","Buscar comida favorita com o find",""
"passed","Fri Dec 22 20:51:09 GMT 2023","Fri Dec 22 20:51:09 GMT 2023","40","","template spec","","","","A external test",""
"passed","Fri Dec 22 20:51:48 GMT 2023","Fri Dec 22 20:51:48 GMT 2023","393","","Work with select elements","","","","validar select combo pelos seus indices Cursos e Mentoria",""
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","26","","","","","","Validando retornos de igualdade ou booleanos",""
"passed","Fri Dec 22 20:51:01 GMT 2023","Fri Dec 22 20:51:01 GMT 2023","39","","","","","","Equality",""
"skipped","Fri Dec 22 20:51:09 GMT 2023","Fri Dec 22 20:51:09 GMT 2023","1","Login teste","Logout","","","","teste de it dentro do describe",""
"passed","Fri Dec 22 20:51:52 GMT 2023","Fri Dec 22 20:51:52 GMT 2023","539","","Uso do wrap para acessar objetos no cypress","","","","Usando o wrap para acessar objetos",""
"passed","Fri Dec 22 20:51:13 GMT 2023","Fri Dec 22 20:51:13 GMT 2023","602","","Work with basic elements","","","","Clicando em checkboxes múltiplos com o click",""
"passed","Fri Dec 22 20:51:43 GMT 2023","Fri Dec 22 20:51:44 GMT 2023","163","","Uso do ITS para pegar uma propriedade do objeto","","","","Usando o Its para acessar o titulo da pagina e medir o seu tamanho",""
