"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 21 02:09:53 GMT 2023","Thu Dec 21 02:09:53 GMT 2023","22","","Aprendendo sobre o uso do Invoke","","","","Cria um objeto com dois parametros a e b para somar e usa o invoke para chama-la",""
"passed","Thu Dec 21 02:09:18 GMT 2023","Thu Dec 21 02:09:19 GMT 2023","889","","Cypress basic","","","","Deve pegar o titulo da tela e escrever em outro campo",""
"failed","Thu Dec 21 02:09:34 GMT 2023","Thu Dec 21 02:09:38 GMT 2023","4438","","Etendendo as esperas no Cypress","","","","Deve fazer retrys",""
"passed","Thu Dec 21 02:09:26 GMT 2023","Thu Dec 21 02:09:26 GMT 2023","573","","Work with basic elements","","","","Clicando em checkboxes múltiplos com o click",""
"passed","Thu Dec 21 02:09:14 GMT 2023","Thu Dec 21 02:09:14 GMT 2023","21","","","","","","Validando tipos de dados",""
"passed","Thu Dec 21 02:09:13 GMT 2023","Thu Dec 21 02:09:13 GMT 2023","47","","","","","","Equality",""
"passed","Thu Dec 21 02:09:14 GMT 2023","Thu Dec 21 02:09:14 GMT 2023","24","","","","","","Validando estrutura de dados do tipo arrays",""
"passed","Thu Dec 21 02:09:14 GMT 2023","Thu Dec 21 02:09:14 GMT 2023","24","","","","","","Validando dados do tipo STRING",""
"passed","Thu Dec 21 02:09:30 GMT 2023","Thu Dec 21 02:09:34 GMT 2023","3453","","Etendendo as esperas no Cypress","","","","Clicando no botao RESPOSTA demorada escrevendo e aguardando elemento estar disponível",""
"skipped","Thu Dec 21 02:09:22 GMT 2023","Thu Dec 21 02:09:22 GMT 2023","1","Login teste","Logout","","","","teste de it dentro do describe",""
"passed","Thu Dec 21 02:09:22 GMT 2023","Thu Dec 21 02:09:22 GMT 2023","45","","template spec","","","","A external test",""
"passed","Thu Dec 21 02:09:22 GMT 2023","Thu Dec 21 02:09:22 GMT 2023","28","","Login teste","","","","Login com sucesso",""
"passed","Thu Dec 21 02:10:05 GMT 2023","Thu Dec 21 02:10:05 GMT 2023","542","","Uso do wrap para acessar objetos no cypress","","","","Usando o wrap para acessar objetos",""
"passed","Thu Dec 21 02:09:13 GMT 2023","Thu Dec 21 02:09:14 GMT 2023","32","","","","","","Validando Equalidade de objetos",""
"passed","Thu Dec 21 02:09:38 GMT 2023","Thu Dec 21 02:09:44 GMT 2023","6187","","Etendendo as esperas no Cypress","","","","Validar o uso do timeout",""
"passed","Thu Dec 21 02:10:01 GMT 2023","Thu Dec 21 02:10:01 GMT 2023","355","","Work with select elements","","","","validar select combo pelos seus indices Cursos e Mentoria",""
"passed","Thu Dec 21 02:09:13 GMT 2023","Thu Dec 21 02:09:13 GMT 2023","25","","","","","","Validando retornos de igualdade ou booleanos",""
"passed","Thu Dec 21 02:09:57 GMT 2023","Thu Dec 21 02:09:57 GMT 2023","154","","Uso do ITS para pegar uma propriedade do objeto","","","","Usando o Its para acessar o titulo da pagina e medir o seu tamanho",""
"passed","Thu Dec 21 02:09:53 GMT 2023","Thu Dec 21 02:09:53 GMT 2023","78","","Aprendendo sobre o uso do Invoke","","","","Cria um objeto e usa o invoke",""
"passed","Thu Dec 21 02:09:50 GMT 2023","Thu Dec 21 02:09:50 GMT 2023","177","","Uso de find para encontrar elementos","","","","Buscar comida favorita com o find",""
"passed","Thu Dec 21 02:09:14 GMT 2023","Thu Dec 21 02:09:14 GMT 2023","22","","","","","","Validando dados do tipo NUMBERS",""
